mod_id,mod_installed_name,mod_version,file_installed_name
22722,"Sword of Sigdan","1.0.0.0","Sword of Sigdan Version 1.0-22722-1-0.rar"
68605,"Temple of Kruziik","1.0.0.0","Kruziik_v1-68605-1-0.zip"
72938,"The Someguy Series (Skyrim)","1.0.0.0","The Someguy Series 1.0-72938-1-0.rar"
49756,"TK Children","1.0.0.0","TK Children-49756-1-0.7z"
15501,"Travellers of Skyrim","1.35.0.0","Travellers of Skyrim v135-15501-1-35.rar"
3812,"Trees HD Skyrim Variation","1.6.0.0","TreesHD_Skyrim_variation_ULTRA_NEW-3812-1-6.rar"
-1,"Unmanaged: Dawnguard","",""
-1,"Unmanaged: Dragonborn","",""
-1,"Unmanaged: HearthFires","",""
-1,"Unmanaged: HighResTexturePack01","",""
-1,"Unmanaged: HighResTexturePack02","",""
-1,"Unmanaged: HighResTexturePack03","",""
23491,"Unofficial Dawnguard Patch","2.1.3.0b","Unofficial Dawnguard Patch-23491-2-1-3b.7z"
31083,"Unofficial Dragonborn Patch","2.1.3.0b","Unofficial Dragonborn Patch-31083-2-1-3b.7z"
25127,"Unofficial Hearthfire Patch","2.1.3.0b","Unofficial Hearthfire Patch-25127-2-1-3b.7z"
31255,"Unofficial High Resolution Patch","1.1.9.0a","Unofficial High Resolution Patch-31255-1-1-9a.7z"
19,"Unofficial Skyrim Patch","2.1.3.0b","Unofficial Skyrim Patch-19-2-1-3b.7z"
56980,"VioLens - A Killmove Mod","1.2.0.0","VioLens - A Killmove Mod 1.2-56980-1-2.7z"
50459,"Warmonger Armory","1.2.55.0","WarmongerArmory_Leveled List-50459-1-2.zip"
34093,"Weapons and Armor Fixes Remade","5.0.0.0","Weapons and Armor Fixes Remade-34093-5-0.zip"
17416,"Wearable Lanterns","3.0.0.0b","Wearable Lanterns 3_0b-17416-3-0b.7z"
34031,"Wearing faction armour causes aggression","1.3.0.0","admod13-34031-1-3.rar"
48538,"WEBS extended","2.0.0.0","WEBS extended v2 x2048-48538-2-0.7z"
0,"WM Flora Fixes","f2.01","C:/Users/David/Downloads/WM Flora Fixes.7z"
